Year,Name,College,Position,Height (in),Weight (lbs),Wonderlic,40 Yard Dash,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle ,3Cone
1987,Chris Kelley,Akron,TE,75,242,,4.88,13,30,102,4.5,9.99
1987,Larry Kelm,Texas A&M,OLB,75.8,221,,4.83,12,30,113,4.29,9.99
1987,Paul Kiser,Wake Forest,OG,75.6,277,,5.11,,26,93,4.95,9.99
1987,Wally Kleine,Notre Dame,DE,80.4,299,,5.2,18,27.5,99,4.74,9.99
1987,Shawn Knight,Brigham Young,DE,78.3,292,,9.99,23,,,9.99,9.99
1987,Fred Lane,Georgia,WR,68.4,171,,4.48,2,25,109,4.36,9.99
1987,Gary Lee,Georgia Tech,WR,72.8,195,,4.53,4,31.5,117,9.99,9.99
1987,John Little,Georgia,FS,73.3,199,,4.66,,29,113,4.19,9.99
1987,Charles Lockett,Long Beach State (CA),WR,70.6,175,,4.45,3,33,113,4.39,9.99
1987,Danny Lockett,Arizona,OLB,74,228,,4.83,21,30.5,120,4.39,9.99
1987,Joe Macesker,Texas-El Paso,OT,78.5,286,,5.23,22,25.5,106,5.01,9.99
1987,Milton Mack,Alcorn State (MS),CB,70.6,186,,4.53,12,34.5,118,4.22,9.99
1987,Terence Mack,Clemson,OLB,75,239,,9.99,16,26,107,9.99,9.99
1987,Don Majkowski,Virginia,QB,73.5,199,,4.83,,34,116,4.13,9.99
1987,Massimo Manca,Penn State,K,69.6,206,,5.18,,21,91,4.73,9.99
1987,Tim Manoa,Penn State,FB,72,232,,4.71,22,24.5,106,4.35,9.99
1987,Warren Marshall,James Madison (VA),FB,73.1,219,,4.68,14,26.5,111,4.56,9.99
1987,Willie Marshall,Temple,WR,73.5,183,,4.59,3,32.5,120,9.99,9.99
1987,Kelvin Martin,Boston College,WR,69,160,,4.55,7,29,112,4.14,9.99
1987,Skip Mcclendon,Arizona State,DE,77,266,,5.12,12,28,112,4.52,9.99
1987,David Mccluskey,Georgia,FB,72,221,,4.71,,22.5,101,4.37,9.99
1987,Tim Mcdonald,Southern California,SS,74.5,207,,4.72,6,33,122,4.27,9.99
1987,Thomas Mchale,Cornell (NY),DE,76,271,,5.21,,25,,4.61,9.99
1987,Keith Mckeller,Jacksonville State (FL),TE,76.3,244,,4.84,16,31,111,4.63,9.99
1987,Ron Mclean,Cal-State Fullerton,DE,75.5,267,,4.99,20,24,114,4.68,9.99
1987,Bruce Mesner,Maryland,DT,76.9,279,,9.99,20,,,9.99,9.99
1987,Chris Miller,Oregon,QB,73.4,190,,4.74,,30.5,117,4.35,9.99
1987,Roland Mitchell,Texas Tech,CB,71.1,180,,4.49,9,32,128,4.15,9.99
1987,Stacey Mobley,Jackson State (MS),WR,67.4,157,,4.55,7,33.5,115,4.52,9.99
1987,Jeff Modesitt,Delaware,TE,75.8,241,,4.89,16,30.5,112,4.48,9.99
1987,Mark Moore,Oklahoma State,FS,71,199,,4.7,7,28,114,4.1,9.99
1987,Dan Morgan,Penn State,OG,78.3,288,,5.25,14,25,93,4.84,9.99
1987,Ron Morris,Southern Methodist (TX),WR,72.6,187,,4.59,8,31.5,116,4.29,9.99
1987,Bobby Morse,Michigan State,RB,69.6,201,,4.65,14,29,110,4.07,9.99
1987,Gary Moss,Georgia,CB,70.4,193,,9.99,12,,,9.99,9.99
1987,Winston Moss,Miami (FL),OLB,75.3,235,,4.69,16,30,111,4.36,9.99
1987,Ronnie Moten,Florida,OLB,72.5,230,,4.8,20,30.5,116,9.99,9.99
1987,Mark Mraz,Utah State,DT,75.1,256,,4.92,21,28,113,4.53,9.99
1987,Jamie Mueller,Benedictine (KS),FB,73,224,,4.61,19,33,117,3.99,9.99
1987,Marc Munford,Nebraska,OLB,74,238,,4.78,15,30,110,4.31,9.99
1987,Ricky Nattiel,Florida,WR,68.9,178,,4.41,,32,116,9.99,9.99
1987,Frankie Neal,Fort Hays State (KS),WR,73.3,208,,4.51,,35,120,4.38,9.99
1987,Calvin Nicholas,Grambling State (LA),WR,75.8,208,,4.67,12,27.5,117,4.4,9.99
1987,Gerald Nichols,Florida State,DT,73,263,,4.93,22,25,109,4.48,9.99
1987,Hardy Nickerson,California,ILB,73.5,223,,4.82,19,28,108,4.15,9.99
1987,Danny Noonan,Nebraska,DT,75,274,,4.82,,32,115,4.38,9.99
1987,Paul O'Connor,Miami (FL),OG,75,279,,5.39,,24,93,4.62,9.99
1987,Nate Odomes,Wisconsin,CB,69.3,188,,4.43,18,33.5,119,4.3,9.99
1987,Christian Okoye,Azusa Pacific (CA),RB,73.6,250,,9.99,21,31,,9.99,9.99
1987,Darryl Oliver,Miami (FL),RB,70.8,194,,4.63,12,28,112,4.4,9.99
1987,Bob Ontko,Penn State,OLB,75,233,,4.92,23,28.5,116,4.28,9.99
1987,Paul Palmer,Temple,RB,69.3,184,,4.53,11,30,116,4.22,9.99
1987,Keith Paskett,Western Kentucky,WR,71.1,180,,4.5,4,29,111,4.35,9.99
1987,Todd Peat,Northern Illinois,OG,74,294,,5.37,18,26,100,4.92,9.99
1987,Tim Peoples,Washington,FS,72.5,200,,4.55,,29,112,4.44,9.99
1987,Victor Perry,Georgia,OT,76.6,281,,5.22,,27.5,99,4.81,9.99
1987,Bob Perryman,Michigan,FB,72.8,234,,9.99,15,29,108,4.34,9.99
1987,Phil Pettey,Missouri,OG,75.5,260,,5.27,17,23,100,4.54,9.99
